equipment:flexequip:transfer-bench---sliding,Transfer bench - sliding,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/transfer-bench-sliding,Transfer bench - sliding - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Transfer bench - sliding # Transfer bench - sliding ### Sliding transfer bench ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:beds-and-bed-equipment,Beds and bed equipment,beds_and_bed_equipment,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/beds-and-bed-equipment,Beds and bed equipment - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Beds and bed equipment # Beds and bed equipment ### Bed - electric ### Bed Cradle ### Bedside commode chair ### Mattress - foam medical grade ### Mattress overlay - alternating air - high profile ### Mattress overlay - Roho ### Mattress overlay - Roho foot extension section ### Mattress overlay - Roho width extension sections set ### Mattress replacement system - alternating,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:communication,Communication,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication,Communication - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication # Communication ### Call devices ### Environmental control units ### Eye gaze equipment for MND participants ### Headsets ### Modified mouses ### Mounting systems and supports ### Portable communication aids ### Switch interfaces and connectors ### Switches ### Voice amplifiers ### Voice banking ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:call-devices,Call devices,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/call-devices,Call devices - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Call devices # Call devices ### Door chime (switch activated) ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:environmental-control-units,Environmental control units,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/environmental-control-units,Environmental control units - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Environmental control units # Environmental control units ### HouseMate Lite ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:eye-gaze-equipment-for-mnd-participants,Eye gaze equipment for MND participants,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/eye-gaze-equipment-for-mnd-participants,Eye gaze equipment for MND participants - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Eye gaze equipment for MND participants # Eye gaze equipment for MND participants ### Eye gaze - environmental control units ### Eye gaze - mounting systems ### Eye gaze - switch ### Eye gaze system ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:eye-gaze---environmental-control-units,Eye gaze - environmental control units,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/eye-gaze-equipment-for-mnd-participants/eye-gaze-environmental-control-units,Eye gaze - environmental control units - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Eye gaze equipment for MND participants - Eye gaze - environmental control units # Eye gaze - environmental control units ### Eye gaze environmental control unit - EyeR USB ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:eye-gaze---mounting-systems,Eye gaze - mounting systems,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/eye-gaze-equipment-for-mnd-participants/eye-gaze-mounting-systems,Eye gaze - mounting systems - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Eye gaze equipment for MND participants - Eye gaze - mounting systems # Eye gaze - mounting systems ### Eye gaze mount - Rolling Floorstand ### Eye gaze mount - TableStand ### Eye Gaze Mount - Rehadapt FS TeleLock - EQ6302 ### Wheelchair Mount - Daessy Mini Folding Mount - EQ6401 ### Eye Gaze Mount - Rehadapt FS TeleLock -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:eye-gaze---switch,Eye gaze - switch,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/eye-gaze-equipment-for-mnd-participants/eye-gaze-switch,Eye gaze - switch - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Eye gaze equipment for MND participants - Eye gaze - switch # Eye gaze - switch ### Eye gaze switch - Micro Light ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:eye-gaze-system,Eye gaze system,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/eye-gaze-equipment-for-mnd-participants/eye-gaze-system,Eye gaze system - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Eye gaze equipment for MND participants - Eye gaze system # Eye gaze system ### Eye gaze - EyeMobile 5 with Grid 3 software ### Eye gaze - Grid Pad Eye 12 with Grid 3 software ### Eye gaze - EyeMobile 5 with Communicator 5 software ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:headsets,Headsets,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/headsets,Headsets - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Headsets # Headsets ### Headset - with microphone ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower commode - attendant,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:modified-mouses,Modified mouses,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/modified-mouses,Modified mouses - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Modified mouses # Modified mouses ### Optima - joystick computer mouse ### Point it – joystick computer mouse ### Switch adapted computer mouse ### Touchpad computer mouse ### Track ball computer mouse ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:mounting-systems-and-supports,Mounting systems and supports,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/mounting-systems-and-supports,Mounting systems and supports - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Mounting systems and supports # Mounting systems and supports ### ErgoRest ### iPad mount - RAM Ez Roll'r/XGrip Suction ### Switch mount - Gooseneck ### Switch mount - Latitude ### Switch mount - LocLine Super Clamp ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:portable-communication-aids,Portable communication aids,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/portable-communication-aids,Portable communication aids - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Portable communication aids # Portable communication aids ### E-Tran board ### iPad - with Assistive Express ### iPad - with Predictable ### iPad - with Proloquo2go ### iPad - HP Trial Set/2weeks with all Apps ### Head pointer - laser ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:switch-interfaces-and-connectors,Switch interfaces and connectors,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/switch-interfaces-and-connectors,Switch interfaces and connectors - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Switch interfaces and connectors # Switch interfaces and connectors ### AbleNet LITTLEmack - EQ7242 ### Bluetooth switch interface ### JoyCable - switch connector ### Voice Amplifier - Voice Amplifier with Throat Mic - EQ7243 ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:switches,Switches,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/switches,Switches - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Switches # Switches ### Big Buddy Button switch ### Buddy Button Switch ### Click switch ### Cushion switch ### Jelly Bean switch ### Magic wand headset sensor ### Magic Wand switch without headset ### Micro light switch ### Mini Cup Cap switch ### Pillow switch ### Proximity switch - Little Candy Corn ### Specs switch ### String switch ### Switch 2 Blue ### Assistive,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:voice-amplifiers,Voice amplifiers,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/voice-amplifiers,Voice amplifiers - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Voice amplifiers # Voice amplifiers ### Voice Amplifier - Spokeman ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:voice-banking,Voice banking,communication,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/communication/voice-banking,Voice banking - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Communication - Voice banking # Voice banking ### Voice banking ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower commode -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:mobility,Mobility,mobility,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/mobility,Mobility - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Mobility # Mobility ### Electric wheelchairs ### Manual wheelchairs ### One-Off specialised wheelchair accessory for FlexEquip NDIS Bundle Participants Only ### Portable ramps ### Walkers ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:electric-wheelchairs,Electric wheelchairs,mobility,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/mobility/electric-wheelchairs,Electric wheelchairs - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Mobility - Electric wheelchairs # Electric wheelchairs ### Electric wheelchair - basic ### Electric wheelchair - tilt-in-space - mid wheel drive ### One-Off specialised electric wheelchairs for FlexEquip NDIS Bundle Participants Only ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bathroom - Bedside commode chair - Over toilet aid/Toilet surround,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:electric-wheelchair---basic,Electric wheelchair - basic,mobility,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/mobility/electric-wheelchairs/electric-wheelchair-basic,Electric wheelchair - basic - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Mobility - Electric wheelchairs - Electric wheelchair - basic # Electric wheelchair - basic ### Electric wheelchair basic - mid wheel drive ### Electric wheelchair basic - rear wheel drive Glide S4 46cm ### Electric wheelchair basic - rear wheel drive lightweight Leitner BILLI 44cm ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
